x,y
796.0,310.0
774.0,130.0
116.0,69.0
908.0,534.0
708.0,99.0
444.0,428.0
220.0,307.0
501.0,287.0
345.0,560.0
628.0,311.0
901.0,639.0
436.0,619.0
938.0,646.0
45.0,549.0
837.0,787.0
328.0,489.0
278.0,434.0
704.0,995.0
101.0,482.0
921.0,964.0
493.0,970.0
494.0,898.0
929.0,389.0
730.0,742.0
528.0,794.0
371.0,429.0
98.0,711.0
724.0,631.0
573.0,903.0
964.0,726.0
213.0,639.0
549.0,329.0
684.0,273.0
273.0,105.0
897.0,324.0
508.0,31.0
758.0,405.0
862.0,361.0
898.0,898.0
2.0,897.0
951.0,209.0
189.0,739.0
602.0,68.0
437.0,601.0
330.0,410.0
3.0,517.0
643.0,404.0
875.0,407.0
761.0,772.0
276.0,666.0
